iter	Passed	Remaining
0	0	775
1	1	711
2	2	678
3	2	657
4	3	662
5	3	646
6	4	633
7	5	667
8	6	692
9	6	684
10	7	673
11	8	666
12	8	659
13	9	653
14	9	647
15	10	640
16	11	638
17	11	639
18	12	637
19	12	634
20	13	632
21	14	631
22	14	628
23	15	627
24	16	625
25	16	622
26	17	622
27	17	619
28	18	617
29	19	616
30	19	616
31	20	614
32	20	613
33	21	613
34	22	614
35	23	616
36	23	616
37	24	616
38	24	615
39	25	614
40	26	613
41	26	612
42	27	611
43	28	609
44	28	607
45	29	606
46	29	606
47	30	606
48	31	605
49	31	604
50	32	602
51	32	600
52	33	600
53	34	600
54	34	598
55	35	597
56	36	597
57	36	597
58	37	596
59	38	595
60	38	594
61	39	595
62	39	594
63	40	593
64	41	592
65	41	591
66	42	590
67	43	589
68	43	589
69	44	588
70	44	588
71	45	588
72	46	588
73	46	587
74	47	585
75	48	585
76	48	584
77	49	584
78	50	584
79	50	583
80	51	584
81	52	583
82	52	579
83	53	578
84	53	577
85	54	576
86	54	575
87	55	575
88	56	574
89	56	574
90	57	572
91	57	571
92	58	570
93	59	569
94	59	568
95	60	567
96	60	566
97	61	565
98	62	566
99	62	565
100	63	564
101	64	563
102	64	563
103	65	562
104	65	561
105	66	561
106	67	560
107	67	560
108	68	559
109	69	558
110	69	558
111	70	557
112	70	556
113	71	554
114	71	553
115	72	552
116	72	550
117	73	549
118	74	548
119	74	548
120	75	548
121	75	546
122	76	545
123	77	545
124	77	543
125	78	542
126	78	540
127	79	540
128	79	539
129	80	539
130	81	539
131	81	538
132	82	538
133	83	536
134	83	535
135	84	534
136	84	533
137	85	532
138	85	531
139	86	529
140	86	529
141	87	527
142	87	526
143	88	526
144	89	525
145	89	524
146	90	524
147	90	523
148	91	522
149	92	521
150	92	521
151	93	520
152	93	519
153	94	518
154	94	517
155	95	517
156	96	516
157	96	515
158	97	514
159	97	513
160	98	511
161	98	510
162	99	509
163	99	508
164	100	507
165	101	507
166	101	506
167	102	506
168	102	505
169	103	504
170	103	503
171	104	502
172	104	501
173	105	500
174	106	499
175	106	499
176	107	498
177	107	498
178	108	497
179	108	496
180	109	495
181	109	494
182	110	493
183	111	492
184	111	491
185	112	490
186	112	490
187	113	489
188	113	488
189	114	487
190	114	486
191	115	485
192	115	485
193	116	484
194	117	483
195	117	482
196	118	481
197	118	480
198	119	480
199	120	481
200	121	481
201	121	480
202	122	479
203	122	478
204	123	477
205	123	476
206	124	475
207	124	474
208	125	473
209	125	473
210	126	472
211	126	471
212	127	471
213	128	470
214	128	469
215	129	469
216	129	468
217	130	467
218	130	466
219	131	466
220	132	466
221	132	465
222	133	465
223	134	464
224	134	464
225	135	464
226	136	463
227	136	463
228	137	462
229	138	462
230	138	461
231	139	461
232	139	460
233	140	459
234	140	458
235	141	458
236	141	457
237	142	456
238	142	455
239	143	454
240	144	453
241	144	453
242	145	452
243	145	451
244	146	450
245	146	450
246	147	449
247	148	448
248	148	448
249	149	447
250	149	446
251	150	446
252	151	445
253	151	445
254	152	444
255	152	443
256	153	443
257	153	442
258	154	441
259	155	441
260	155	440
261	156	440
262	156	439
263	157	439
264	158	438
265	158	437
266	159	437
267	159	436
268	160	435
269	161	435
270	161	434
271	162	434
272	163	435
273	163	434
274	164	433
275	165	433
276	165	433
277	166	432
278	167	431
279	167	431
280	168	430
281	169	430
282	169	430
283	170	429
284	171	429
285	171	428
286	172	428
287	172	427
288	173	427
289	174	426
290	174	426
291	175	426
292	176	425
293	177	425
294	177	424
295	178	423
296	178	423
297	179	422
298	180	422
299	180	421
300	181	420
301	181	420
302	182	419
303	182	418
304	183	418
305	184	417
306	184	416
307	185	416
308	185	415
309	186	414
310	186	414
311	187	413
312	188	412
313	188	412
314	189	411
315	189	411
316	190	410
317	191	409
318	191	409
319	192	408
320	192	407
321	193	407
322	194	406
323	194	406
324	195	405
325	195	405
326	196	404
327	197	403
328	197	403
329	198	402
330	198	401
331	199	401
332	199	400
333	200	400
334	201	399
335	201	399
336	202	398
337	203	397
338	203	397
339	204	396
340	205	396
341	205	395
342	206	395
343	207	394
344	207	394
345	208	393
346	208	393
347	209	392
348	210	391
349	210	391
350	211	390
351	211	390
352	212	389
353	213	389
354	213	388
355	214	388
356	215	387
357	215	386
358	216	386
359	217	385
360	217	385
361	218	384
362	218	384
363	219	384
364	220	383
365	220	382
366	221	382
367	222	381
368	222	380
369	223	379
370	223	379
371	224	378
372	224	378
373	225	377
374	226	377
375	226	376
376	227	375
377	227	375
378	228	374
379	229	373
380	229	373
381	230	372
382	231	372
383	231	371
384	232	371
385	233	370
386	233	370
387	234	369
388	234	368
389	235	368
390	236	367
391	236	367
392	237	366
393	238	366
394	238	365
395	239	365
396	239	364
397	240	363
398	241	363
399	241	362
400	242	361
401	242	361
402	243	360
403	244	360
404	244	359
405	245	358
406	245	358
407	246	357
408	247	356
409	247	356
410	248	355
411	248	355
412	249	354
413	250	354
414	250	353
415	251	352
416	251	352
417	252	351
418	253	351
419	253	350
420	254	349
421	254	349
422	255	348
423	256	348
424	256	347
425	257	346
426	258	346
427	258	345
428	259	345
429	259	344
430	260	343
431	261	343
432	261	342
433	262	342
434	262	341
435	263	340
436	264	340
437	264	339
438	265	339
439	266	338
440	266	337
441	267	337
442	267	336
443	268	336
444	268	335
445	269	334
446	270	334
447	270	333
448	271	332
449	271	332
450	272	331
451	273	331
452	273	330
453	274	329
454	274	329
455	275	328
456	276	328
457	276	327
458	277	326
459	277	326
460	278	325
461	278	324
462	279	324
463	280	323
464	280	323
465	281	322
466	282	321
467	282	321
468	283	320
469	284	320
470	284	319
471	285	318
472	285	318
473	286	317
474	287	317
475	287	316
476	288	315
477	288	315
478	289	314
479	290	314
480	290	313
481	291	313
482	291	312
483	292	311
484	293	311
485	293	310
486	294	310
487	294	309
488	295	308
489	296	308
490	296	307
491	297	307
492	298	306
493	298	306
494	299	305
495	300	304
496	300	304
497	301	303
498	302	303
499	302	302
500	303	302
501	304	301
502	304	301
503	305	300
504	305	299
505	306	299
506	306	298
507	307	297
508	308	297
509	308	296
510	309	296
511	310	295
512	310	294
513	311	294
514	311	293
515	312	293
516	313	292
517	313	291
518	314	291
519	314	290
520	315	290
521	316	289
522	316	289
523	317	288
524	318	287
525	318	287
526	319	286
527	320	286
528	320	285
529	321	284
530	321	284
531	322	283
532	323	283
533	323	282
534	324	281
535	324	281
536	325	280
537	325	279
538	326	279
539	327	278
540	327	277
541	328	277
542	328	276
543	329	276
544	329	275
545	330	274
546	331	274
547	331	273
548	332	272
549	332	272
550	333	272
551	334	271
552	335	270
553	335	270
554	336	269
555	337	269
556	337	268
557	338	267
558	338	267
559	339	266
560	340	266
561	340	265
562	341	264
563	341	264
564	342	263
565	343	263
566	343	262
567	344	261
568	344	261
569	345	260
570	346	260
571	346	259
572	347	258
573	347	258
574	348	257
575	349	256
576	349	256
577	350	255
578	350	255
579	351	254
580	352	253
581	352	253
582	353	252
583	353	252
584	354	251
585	355	250
586	355	250
587	356	249
588	356	248
589	357	248
590	357	247
591	358	247
592	359	246
593	359	245
594	360	245
595	360	244
